pais_key,nombrePais
1,Afghanistan
2,Albania
3,Algeria
4,Andorra
5,Angola
6,Anguilla
7,Antigua and Barbuda
8,Argentina
9,Armenia
10,Aruba
11,Australia
12,Austria
13,Azerbaijan
14,Bahamas
15,Bahrain
16,Bangladesh
17,Barbados
18,Belarus
19,Belgium
20,Belize
21,Benin
22,Bermuda
23,Bhutan
24,Bolivia
25,Botswana
26,Brazil
27,British Virgin Islands
28,Brunei Darussalam
29,Bulgaria
30,Burkina Faso
31,Burundi
32,Cambodia
33,Cameroon
34,Canada
35,Cape Verde
36,Central African Republic
37,Chad
38,Chile
39,China
40,Colombia
41,Comoros
42,Congo
43,Cook Islands
44,Costa Rica
45,Croatia
46,Cuba
47,Cyprus
48,Czech Republic
49,C̫te d'Ivoire
50,Democratic Republic of the Congo
51,Denmark
52,Djibouti
53,Dominica
54,Dominican Republic
55,Ecuador
56,Egypt
57,El Salvador
58,Equatorial Guinea
59,Eritrea
60,Estonia
61,Ethiopia
62,Fiji
63,Finland
64,France
65,Gabon
66,Gambia
67,Georgia
68,Germany
69,Ghana
70,Greece
71,Grenada
72,Guatemala
73,Guinea
74,Guinea-Bissau
75,Guyana
76,Haiti
77,Holy See
78,Honduras
79,Hong Kong Special Administrative Region of China
80,Hungary
81,Iceland
82,India
83,Indonesia
84,"Iran, Islamic Republic of"
85,Iraq
86,Ireland
87,Israel
88,Italy
89,Jamaica
90,Japan
91,Jordan
92,Kazakhstan
93,Kenya
94,Kiribati
95,Kuwait
96,Kyrgyzstan
97,Lao People's Democratic Republic
98,Latvia
99,Lebanon
100,Lesotho
101,Liberia
102,Libyan Arab Jamahiriya
103,Liechtenstein
104,Lithuania
105,Luxembourg
106,Macao Special Administrative Region of China
107,Madagascar
108,Malawi
109,Malaysia
110,Maldives
111,Mali
112,Malta
113,Marshall Islands
114,Mauritania
115,Mauritius
116,Mexico
117,"Micronesia, Federated States of"
118,Moldova
119,Monaco
120,Mongolia
121,Montserrat
122,Morocco
123,Mozambique
124,Myanmar
125,Namibia
126,Nepal
127,Netherlands
128,New Zealand
129,Nicaragua
130,Niger
131,Nigeria
132,Norway
133,Oman
134,Pakistan
135,Palau
136,Panama
137,Papua New Guinea
138,Paraguay
139,Peru
140,Philippines
141,Poland
142,Portugal
143,Puerto Rico
144,Qatar
145,Republic of Korea
146,Romania
147,Russian Federation
148,Rwanda
149,Saint Kitts and Nevis
150,Saint Lucia
151,Saint Vincent and the Grenadines
152,Samoa
153,San Marino
154,Sao Tome and Principe
155,Saudi Arabia
156,Senegal
157,Serbia
158,Seychelles
159,Sierra Leone
160,Singapore
161,Slovakia
162,Slovenia
163,Solomon Islands
164,South Africa
165,South Sudan
166,Spain
167,Sri Lanka
168,Sudan
169,Swaziland
170,Sweden
171,Switzerland
172,Syrian Arab Republic
173,Tajikistan
174,Thailand
175,The former Yugoslav Republic of Macedonia
176,Timor-Leste
177,Togo
178,Tonga
179,Trinidad and Tobago
180,Tunisia
181,Turkey
182,Turkmenistan
183,Turks and Caicos Islands
184,Tuvalu
185,Uganda
186,Ukraine
187,United Arab Emirates
188,United Kingdom of Great Britain and Northern Ireland
189,United Republic of Tanzania
190,United States of America
191,Uruguay
192,Vanuatu
193,Venezuela (Bolivarian Republic of)
194,Viet Nam
195,Yemen
196,Zambia
197,Zimbabwe
